"","Job_Title","Company","Location","Links"
"19","Data Scientist - Nationwide Opportunities","Amazon Web Services, Inc.","Atlanta, GA","/rc/clk?jk=2e6228c80a1e7313&fccid=fe2d21eef233e94a&vjs=3"
"20","Senior Associate, Data Scientist Optimization","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=f419bc6b06a81356&fccid=2dd390c3a48a7ed0&vjs=3"
"21","Data Scientist","Codoxo","Atlanta, GA","/rc/clk?jk=6313e0104d6825c0&fccid=88df7112804301b7&vjs=3"
"22","Environmental Data Manager/Data Scientist (Entry Level)","ERM Group","Atlanta, GA","/rc/clk?jk=43c219a6d701388b&fccid=3f0d5695925aa6ba&vjs=3"
"23","Specialist Sr. Associate - ML Pipelines for AI Data Scientist","Brilliant Infotech","Atlanta, GA 30308 (Downtown area)","/company/Brilliant-Infotech-Inc./jobs/Specialist-Senior-Associate-18f52c2d006da285?fccid=f7e3a741e5126bf9&vjs=3"
"24","Data Scientist- Cloud Pak for Security","IBM","Sandy Springs, GA","/rc/clk?jk=36d45644e3f2d9ba&fccid=de71a49b535e21cb&vjs=3"
"25","Security Data Scientist","Microsoft","Atlanta, GA","/rc/clk?jk=b4e3ca4730508f82&fccid=734cb5a01ee60f80&vjs=3"
"26","Senior-Data Scientist","AT&T","Alpharetta, GA","/rc/clk?jk=9000881d6788a58d&fccid=25b5166547bbf543&vjs=3"
"27","Senior Data Scientist - Defense Analytics","McKinsey & Company","Atlanta, GA","/rc/clk?jk=dae419aa3239ec91&fccid=6576e7250aa78c3c&vjs=3"
"28","Senior Data Scientist","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=c061b7bc1e3a18e5&fccid=50208b5bf45ee3b8&vjs=3"
